batchNum,accuracy_spam_1,precision_spam_1,recall_spam_1,accuracy_spam_0,precision_spam_0,recall_spam_0
93,0.91,0.9705882352941176,0.8048780487804879,0.09,0.029411764705882353,0.01694915254237288
94,0.93,0.9787234042553191,0.8846153846153846,0.07,0.02127659574468085,0.020833333333333332
95,0.9,0.9318181818181818,0.8541666666666666,0.1,0.06818181818181818,0.057692307692307696
96,0.88,1.0,0.7735849056603774,0.12,0.0,0.0
97,0.85,0.9333333333333333,0.7777777777777778,0.15,0.06666666666666667,0.06521739130434782
98,0.91,0.9777777777777777,0.8461538461538461,0.09,0.022222222222222223,0.020833333333333332
99,0.92,0.9555555555555556,0.8775510204081632,0.08,0.044444444444444446,0.0392156862745098
100,0.9,1.0,0.803921568627451,0.1,0.0,0.0
101,0.85,0.9736842105263158,0.7254901960784313,0.15,0.02631578947368421,0.02040816326530612
102,0.89,0.9777777777777777,0.8148148148148148,0.11,0.022222222222222223,0.021739130434782608
103,0.93,0.9574468085106383,0.9,0.07,0.0425531914893617,0.04
104,0.9,0.9512195121951219,0.8297872340425532,0.1,0.04878048780487805,0.03773584905660377
105,0.89,1.0,0.7555555555555555,0.11,0.0,0.0
106,0.85,0.98,0.7777777777777778,0.15,0.02,0.02702702702702703
107,0.87,0.9069767441860465,0.8125,0.13,0.09302325581395349,0.07692307692307693
108,0.88,0.9761904761904762,0.7884615384615384,0.12,0.023809523809523808,0.020833333333333332
109,0.9,0.9512195121951219,0.8297872340425532,0.1,0.04878048780487805,0.03773584905660377
110,0.86,0.9487179487179487,0.7551020408163265,0.14,0.05128205128205128,0.0392156862745098
111,0.95,1.0,0.8888888888888888,0.05,0.0,0.0
112,0.91,0.9210526315789473,0.8536585365853658,0.09,0.07894736842105263,0.05084745762711865
113,0.92,0.975609756097561,0.851063829787234,0.08,0.024390243902439025,0.018867924528301886
114,0.91,0.9777777777777777,0.8461538461538461,0.09,0.022222222222222223,0.020833333333333332
115,0.92,0.96875,0.8157894736842105,0.08,0.03125,0.016129032258064516
116,0.88,0.9230769230769231,0.8571428571428571,0.12,0.07692307692307693,0.09090909090909091
117,0.85,1.0,0.7321428571428571,0.15,0.0,0.0
118,0.92,0.9473684210526315,0.8571428571428571,0.08,0.05263157894736842,0.034482758620689655
119,0.8,0.9705882352941176,0.6346153846153846,0.2,0.029411764705882353,0.020833333333333332
120,0.87,0.9,0.8,0.13,0.1,0.07272727272727272
121,0.79,0.8863636363636364,0.7090909090909091,0.21,0.11363636363636363,0.1111111111111111
122,0.86,0.8947368421052632,0.7727272727272727,0.14,0.10526315789473684,0.07142857142857142
